Task,Learner,Tuning,HPO,Criterion,Sampling,Factor,Macro F1,Accuracy,Class F1 Scores,Multiclass Brier Score
pdgrouprevaluation,xgb,holdout,hebo,macro_f1,upsampling,2,0.5764,0.8726,[0.94118319 0.43376375 0.35412844],0.0904
pdgrouprevaluation,xgb,holdout,hebo,macro_f1,smote,2,0.5724,0.8747,[0.94239501 0.41408805 0.36077706],0.0889
pdgrouprevaluation,xgb,holdout,hebo,macro_f1,,2,0.538,0.8814,[0.94510727 0.3239391  0.34501845],0.0838
pdgrouprevaluation,xgb,holdout,hebo,macro_f1,downsampling,2,0.5031,0.8752,[0.94029687 0.1631664  0.4058193 ],0.0986
pdgrouprevaluation,xgb,holdout,hebo,macro_f1,smote,2,0.5508,0.8818,[0.94626766 0.34201443 0.36426713],0.0838
pdgrouprevaluation,xgb,holdout,hebo,brier_score,,2,0.52,0.8817,[0.94462021 0.29578911 0.31968811],0.0828
pdgrouprevaluation,xgb,holdout,hebo,brier_score,smote,2,0.5651,0.8687,[0.93921956 0.42896425 0.32701894],0.0944
pdgrouprevaluation,xgb,holdout,hebo,brier_score,,2,0.5267,0.8821,[0.94506887 0.30253807 0.33237272],0.0832
pdgrouprevaluation,xgb,holdout,hebo,brier_score,upsampling,2,0.5638,0.8735,[0.94147972 0.40625    0.34375   ],0.0878
pdgrouprevaluation,xgb,holdout,hebo,brier_score,downsampling,2,0.4635,0.8762,[0.94019041 0.002003   0.44832402],0.0871
pdgrouprevaluation,xgb,holdout,hebo,brier_score,smote,2,0.5546,0.8821,[0.94535565 0.3321417  0.38617201],0.0833
pdgrouprevaluation,xgb,holdout,rs,macro_f1,,2,0.5422,0.8821,[0.94569309 0.31923959 0.36168308],0.0831
pdgrouprevaluation,xgb,holdout,rs,macro_f1,upsampling,2,0.5791,0.8742,[0.94209265 0.43660951 0.35850773],0.0877
pdgrouprevaluation,xgb,holdout,rs,macro_f1,downsampling,2,0.4893,0.8772,[0.94191437 0.09362461 0.43239335],0.0887
pdgrouprevaluation,xgb,holdout,rs,macro_f1,smote,2,0.5605,0.8498,[0.92764531 0.45135747 0.30234934],0.1017
pdgrouprevaluation,xgb,holdout,rs,macro_f1,,2,0.5362,0.8807,[0.94450742 0.30982202 0.3543379 ],0.0836
