Task,Learner,Tuning,HPO,Criterion,Sampling,Factor,F1 Score,Precision,Recall,Accuracy,Brier Score,ROC AUC Score,Confusion Matrix,Best Threshold
pocketclosure,xgb,holdout,hebo,f1,upsampling,2,0.5768,0.5468,0.6104,0.911,0.0622,0.9117,"[[ 1222   780]
 [ 1013 17133]]",0.56
pocketclosure,xgb,holdout,hebo,f1,downsampling,2,0.574,0.5414,0.6109,0.9099,0.0627,0.912,"[[ 1223   779]
 [ 1036 17110]]",0.57
pocketclosure,xgb,holdout,hebo,f1,smote,2,0.5182,0.5158,0.5205,0.9038,0.0851,0.8871,"[[ 1042   960]
 [  978 17168]]",0.98
pocketclosure,xgb,holdout,hebo,f1,,2,0.5585,0.5106,0.6164,0.9032,0.0604,0.9075,"[[ 1234   768]
 [ 1183 16963]]",0.73
pocketclosure,xgb,holdout,hebo,f1,upsampling,2,0.5717,0.5148,0.6429,0.9043,0.0623,0.9113,"[[ 1287   715]
 [ 1213 16933]]",0.61
pocketclosure,xgb,holdout,hebo,f1,downsampling,2,0.5601,0.5644,0.5559,0.9132,0.0636,0.9096,"[[ 1113   889]
 [  859 17287]]",0.52
pocketclosure,xgb,holdout,hebo,f1,smote,2,0.5545,0.556,0.5529,0.9117,0.0599,0.9085,"[[ 1107   895]
 [  884 17262]]",0.69
pocketclosure,xgb,holdout,hebo,brier_score,,2,0.4719,0.6824,0.3606,0.9198,0.0591,0.9124,"[[  722  1280]
 [  336 17810]]",
pocketclosure,xgb,holdout,hebo,brier_score,upsampling,2,0.5106,0.5883,0.451,0.9141,0.0633,0.8998,"[[  903  1099]
 [  632 17514]]",
pocketclosure,xgb,holdout,hebo,brier_score,downsampling,2,0.5509,0.5813,0.5235,0.9152,0.0626,0.9119,"[[ 1048   954]
 [  755 17391]]",
pocketclosure,xgb,holdout,hebo,brier_score,smote,2,0.135,0.7789,0.0739,0.9059,0.0643,0.9109,"[[  148  1854]
 [   42 18104]]",
pocketclosure,xgb,holdout,hebo,brier_score,,2,0.4582,0.6679,0.3487,0.9181,0.0591,0.9118,"[[  698  1304]
 [  347 17799]]",
pocketclosure,xgb,holdout,hebo,brier_score,upsampling,2,0.5638,0.5829,0.546,0.9161,0.0623,0.9112,"[[ 1093   909]
 [  782 17364]]",
pocketclosure,xgb,holdout,hebo,brier_score,downsampling,2,0.5781,0.5914,0.5654,0.918,0.0621,0.9109,"[[ 1132   870]
 [  782 17364]]",
pocketclosure,xgb,holdout,hebo,brier_score,smote,2,0.4212,0.7114,0.2992,0.9183,0.0602,0.9116,"[[  599  1403]
 [  243 17903]]",
